Segment,Count,MAE,RMSE,SMAPE,Bias,WMAE,ErrorShare%
Very Low (0.1-0.5),92169,0.16228928151369024,0.2228159939966009,38.712878418505625,-0.018884059067244923,0.2095224881069069,15.4006084732705
Low (0.5-1.0),163079,0.21425350876310176,0.2992639116267182,36.67255737264047,-0.01974214496726338,0.28477638398465727,35.97403472522
Medium (1.0-2.0),65156,0.3677195450305486,0.5087781966819505,31.76168311225268,-0.02059625075080824,0.46752193614577847,24.668020213160126
High (2.0-5.0),26257,0.6693753546459547,0.9238338546865753,31.758420399624697,-0.007980723813348002,0.8628296362522266,18.09580840270283
Very High (5.0+),3339,1.7050270434362282,2.4865701604635673,19.337273003327986,0.0066177759400563065,2.3404841877631917,5.86152818564655
