fold,MAE,RMSE,Corr,Bias,PI_Coverage,train_size,val_size
1,0.25282532354310544,0.4053014401512502,0.9687914653059677,0.03480060924655083,0.7299714285714286,170000,35000
2,0.2619670831338494,0.42565353643478615,0.9669375326985145,-0.010674611587525742,0.7263142857142857,205000,35000
3,0.24814519516456493,0.38651170357698617,0.9739245855982104,0.000232104872526391,0.7452,240000,35000
4,0.2896453277578124,0.47454911418751317,0.9716662980671931,-0.059516379980667077,0.6976,275000,35000
