iter	MAE
337	0.3007883624
338	0.3007339427
339	0.300686541
340	0.3006551282
341	0.3006090774
342	0.3005524928
343	0.3005031356
344	0.300473894
345	0.3003702587
346	0.3002775864
347	0.3002302125
348	0.3001043052
349	0.300038455
350	0.2999717181
351	0.2999093269
352	0.2998508855
353	0.2998027893
354	0.2997802437
355	0.2997079042
356	0.299674507
357	0.2995967709
358	0.2995033963
359	0.2994728775
360	0.299382292
361	0.2993375711
362	0.2992617015
363	0.2992022805
364	0.2991622367
365	0.2991004734
366	0.299053177
367	0.2989867756
368	0.2989342446
369	0.2989086109
370	0.2988554327
371	0.2987210046
372	0.2986732878
373	0.2986072333
374	0.2985337115
375	0.2985125212
376	0.2983743436
377	0.2982810032
378	0.2982247657
379	0.2981149329
380	0.298001253
381	0.2979202172
382	0.2978695826
383	0.297811684
384	0.2977437282
385	0.2976496362
386	0.2975824594
387	0.2975451856
388	0.2974081241
389	0.2973607056
390	0.2973215698
391	0.2972817677
392	0.2972196492
393	0.2971554609
394	0.2971046885
395	0.2970335301
396	0.2969768142
397	0.2968534476
398	0.2967716445
399	0.2966760472
400	0.29659099
401	0.2965133379
402	0.2964309504
403	0.2963104377
404	0.2962256987
405	0.2961633551
406	0.2960916147
407	0.2960193053
408	0.2959005695
409	0.295869011
410	0.2958235636
411	0.2957756504
412	0.2957117068
413	0.2956878245
414	0.2955773919
415	0.2955169
416	0.2954506709
417	0.2953895266
418	0.2953122177
419	0.2952595674
420	0.2951760026
421	0.295118033
422	0.2950388622
423	0.2949831489
424	0.2948899258
425	0.294836234
426	0.2947582361
427	0.2947015936
428	0.2946695819
429	0.2946304222
430	0.2945866029
431	0.2944959074
432	0.2943962085
433	0.2943512854
434	0.2943072507
435	0.2942762329
