Segment,Count,MAE,RMSE,SMAPE,Bias,WMAE,Error Share %
Very Low (< 0.5),5467,0.17898473142211813,0.249927494913921,40.23778726126099,-0.061601182311258426,0.25037797491853736,15.556733750632143
Low (0.5 - 1.0),9723,0.2238737406234787,0.3240327992332641,38.66004854493467,-0.07832904721502987,0.3263708444933212,34.60643019406954
Medium (1.0 - 2.0),4011,0.37816952208396054,0.5399647701276846,32.63520880177277,-0.1150614244899273,0.5187382075844066,24.11529324486923
High (2.0 - 5.0),1645,0.7273883871260116,1.028129105462274,33.5987008183635,-0.25191100156710816,1.0171750666487542,19.02328989500312
Very High (5.0+),154,2.7358196231310976,4.003194057713478,18.866953833683045,-1.4068264475492251,4.030855261379514,6.69825291542597
