Model,MAE,RMSE,SMAPE,MAPE,Corr,WMAE,Bias
mae,0.3065600185163663,0.5876365971131277,36.05566575865777,35.827210424382024,0.9638086716283208,0.9376959096073763,-0.11861648920674903
huber,0.29656127821140427,0.5543836657123008,35.824381178349775,36.73441870537294,0.966163034555387,0.8666937643085816,-0.07110903443915946
q50,0.304976271703113,0.5746434629435598,36.07984580820695,35.360777615991104,0.9651660406195793,0.9142376610520099,-0.12326350976794254
ensemble,0.2995210466014308,0.5664684098889065,37.37842053334378,35.615825193581216,0.9659915582851316,0.8992857296849148,-0.104329677804617
