Segment,Count,Coverage (%),Expected (%),Gap (pp),Avg PI Width
Very Low (< 0.5),5467,73.03822937625755,80.0,-6.961770623742458,0.5034193123245505
Low (0.5 - 1.0),9723,72.90959580376428,80.0,-7.090404196235733,0.6300232270480554
Medium (1.0 - 2.0),4011,72.17651458489155,80.0,-7.823485415108456,1.028861859666496
High (2.0 - 5.0),1645,65.34954407294833,80.0,-14.650455927051675,1.6999619103231207
Very High (5.0+),154,52.5974025974026,80.0,-27.402597402597408,5.0027196984474
