fold,MAE,RMSE,Corr,Bias,PI_Coverage_80,train_size,val_size
1,0.23583616690711262,0.383177462435764,0.9731244409337984,0.02149039258282087,0.7216190476190476,102000,21000
2,0.24552789913487869,0.4019315110015704,0.9722629366862093,-0.00860245497579813,0.7183333333333334,123000,21000
3,0.23643529936388716,0.371228817229339,0.9771953224141118,0.000740824767230129,0.7374285714285714,144000,21000
4,0.2781764068839363,0.4679349311416052,0.9737226896682047,-0.04940759773765908,0.7052857142857143,165000,21000
